"","objectid","paper","doi","tea_type","tea_brand","inventory_id","site_name","region_or_state","longitude","latitude","ecosystem_type_reported","ecosystem_zone","tai","tai_position","koppen_geiger_climate_class","soil_depth_cm","in_8cm_depth_range_5_10_cm","length_of_incubation_days","start_of_experiment","end_of_experiment","in_90_day_range_76_104_days","k","s","salinity_psu","elevation_meters","bulk_density_0_5cm","bulk_density_5_15cm","cation_exchange_capacity_0_5","cation_exchange_capacity_5_15","course_fragments_volumetric","clay","nitrogen","organic_carbon_density","organic_carbon_stock","p_h","sand","silt","soil_organic_carbon_content","water_content_10kpa","water_content_33kpa","water_content_1500kpa","total_nemotode_per100g","total_nemotode_per_square_meter","mean_annual_air_temp_c","temp_month_1","temp_month_2","temp_month_3","temp_month_4","temp_month_5","temp_month_6","temp_month_7","temp_month_8","temp_month_9","temp_month_10","temp_month_11","temp_month_12","mean_annual_precip_mm","precip_month_1","precip_month_2","precip_month_3","precip_month_4","precip_month_5","precip_month_6","precip_month_7","precip_month_8","precip_month_9","precip_month_10","precip_month_11","precip_month_12","f69","f70","f71","f72","f73","f74","f75","f76","f77","f78","f79","f80","f81","f82","f83","Category"
"931",931,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1475,732,NA,8.154166222,40.60416794,"Mediterranean Forest","Mediterranean Forest",NA,NA,8,8,"YES",90,"NA","NA","YES",0.003675551,0.184365764,NA,26,117.4444427,127.3333359,238,177,212,206,411,449,55,64,515,279,767.222229,367,315,168,3331.650879,6271833,15.8333334125,10.60000038,10.30000019,11,12.80000019,16.20000076,19.70000076,22.20000076,22.89999962,20.89999962,17.79999924,13.89999962,11.69999981,748,106,81,87,68,34,34,7,12,42,92,107,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"932",932,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1488,746,NA,-9.020833015,38.47916794,"Flooded Grassland","Flooded Grassland",NA,NA,9,8,"YES",90,"NA","NA","YES",0.007614675,0.361020816,NA,146,136,144,240,188,152,165,240,387,55,59,608,228,494,357,298,128,841.9449463,1622007,16.0416666666667,10.60000038,11.60000038,13.30000019,14.39999962,16.60000038,19.39999962,21.5,21.79999924,20.5,17.5,13.80000019,11.5,714,103,85,51,62,53,19,6,7,28,77,105,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"933",933,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1490,752,NA,-57.41249847,-37.6875,"Temperate Grassland","Temperate Grassland","Yes","Wetland",15,8,"YES",90,"NA","NA","YES",0.004130067,0.157084264,NA,1,118.7454529,126.4727249,274.3999939,215.3636322,64.8181839,291.7636414,608.3272705,690.7999878,94.29090881,72.96363831,417.2000122,291.1272583,822.1272583,341.7818298,345.0909119,193.3272705,2795.437012,4545380.5,14.3416665399167,20.79999924,20.29999924,18.60000038,14.80000019,11.60000038,8.699999809,8.100000381,9.199999809,10.89999962,13.69999981,16.39999962,19,902,96,82,96,83,74,62,58,49,60,77,74,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"934",934,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1491,753,NA,-57.41249847,-37.6875,"Temperate Grassland","Temperate Grassland","Yes","Wetland",15,8,"YES",90,"NA","NA","YES",0.005231603,0.313275621,NA,1,118.7454529,126.4727249,274.3999939,215.3636322,64.8181839,291.7636414,608.3272705,690.7999878,94.29090881,72.96363831,417.2000122,291.1272583,822.1272583,341.7818298,345.0909119,193.3272705,2795.437012,4545380.5,14.3416665399167,20.79999924,20.29999924,18.60000038,14.80000019,11.60000038,8.699999809,8.100000381,9.199999809,10.89999962,13.69999981,16.39999962,19,902,96,82,96,83,74,62,58,49,60,77,74,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"935",935,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1492,754,NA,-82.12083435,9.229166985,"Mangroves","Mangroves",NA,NA,1,8,"YES",90,"NA","NA","YES",0.012109987,-0.030725845,NA,6,82.77777863,83.16666412,231.0555573,231.777771,65,408.6666565,549.666687,444.8333435,68.3888855,52.33333206,285.3333435,305.944458,958.444458,408.777771,322.8888855,217.3333282,4008.663086,4583906,26.0249999366667,25.10000038,25.39999962,26.10000038,26.5,26.70000076,26.39999962,26.10000038,26.29999924,26.29999924,26.10000038,25.89999962,25.39999962,2663,161,117,83,178,251,274,308,241,211,298,266,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"936",936,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1493,755,NA,-82.12083435,9.229166985,"Mangroves","Mangroves",NA,NA,1,8,"YES",90,"NA","NA","YES",0.010952023,-0.062284041,NA,6,82.77777863,83.16666412,231.0555573,231.777771,65,408.6666565,549.666687,444.8333435,68.3888855,52.33333206,285.3333435,305.944458,958.444458,408.777771,322.8888855,217.3333282,4008.663086,4583906,26.0249999366667,25.10000038,25.39999962,26.10000038,26.5,26.70000076,26.39999962,26.10000038,26.29999924,26.29999924,26.10000038,25.89999962,25.39999962,2663,161,117,83,178,251,274,308,241,211,298,266,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"937",937,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1494,756,NA,-82.23750305,9.254166603,"Tropical and Subtropical Moist Broadleaf Forest","Tropical and Subtropical Moist Broadleaf Forest",NA,NA,1,8,"YES",90,"NA","NA","YES",0.009836891,-0.022087903,NA,0,96.05555725,98.22222137,234.722229,234.722229,55.5,397.6666565,570.444458,461.8333435,64.27777863,53.72222137,274.777771,327.6666565,914.5,417.3888855,328.444458,230.8333282,8726.087891,6679820.5,25.8637096075,24.95806503,25.20322609,25.87419319,26.29677391,26.56774139,26.2387104,25.89677429,26.09354782,26.18709755,26.06774139,25.72257996,25.25806427,2791.5,91.3,102.8,104.1,185.8,289.6,274.8,310,264.3,298.4,317.3,285,268.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"938",938,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1495,757,NA,-82.23750305,9.254166603,"Tropical and Subtropical Moist Broadleaf Forest","Tropical and Subtropical Moist Broadleaf Forest",NA,NA,1,8,"YES",90,"NA","NA","YES",0.010041528,-0.067539931,NA,0,96.05555725,98.22222137,234.722229,234.722229,55.5,397.6666565,570.444458,461.8333435,64.27777863,53.72222137,274.777771,327.6666565,914.5,417.3888855,328.444458,230.8333282,8726.087891,6679820.5,25.8637096075,24.95806503,25.20322609,25.87419319,26.29677391,26.56774139,26.2387104,25.89677429,26.09354782,26.18709755,26.06774139,25.72257996,25.25806427,2791.5,91.3,102.8,104.1,185.8,289.6,274.8,310,264.3,298.4,317.3,285,268.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"939",939,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1496,758,NA,-82.20417023,9.3125,"Tropical and Subtropical Moist Broadleaf Forest","Tropical and Subtropical Moist Broadleaf Forest",NA,NA,1,8,"YES",90,"NA","NA","YES",0.009852612,-0.021993641,NA,1,85.66666412,86.66666412,227.5,215.8333282,65,361.8333435,576.5,438.1666565,68.5,54,310,328,1049,406.8333435,321.6666565,208.5,4870.838379,4783163.5,26.0499998733333,25.10000038,25.39999962,26,26.5,26.79999924,26.5,26.20000076,26.29999924,26.39999962,26.20000076,25.89999962,25.29999924,2863,52,80,134,191,334,322,350,231,327,285,278,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"940",940,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1497,759,NA,-82.20417023,9.3125,"Tropical and Subtropical Moist Broadleaf Forest","Tropical and Subtropical Moist Broadleaf Forest",NA,NA,1,8,"YES",90,"NA","NA","YES",0.010294175,-0.045506323,NA,1,85.66666412,86.66666412,227.5,215.8333282,65,361.8333435,576.5,438.1666565,68.5,54,310,328,1049,406.8333435,321.6666565,208.5,4870.838379,4783163.5,26.0499998733333,25.10000038,25.39999962,26,26.5,26.79999924,26.5,26.20000076,26.29999924,26.39999962,26.20000076,25.89999962,25.29999924,2863,52,80,134,191,334,322,350,231,327,285,278,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"941",941,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1498,760,NA,-88.10416412,16.82916641,"Mangroves","Mangroves",NA,NA,1,8,"YES",90,"NA","NA","YES",0.009497338,0.003239396,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12618.36621,13306067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2191.7988,156.6533,76.24848,69.46812,55.4,107.3319,221.1515,264.0834,218.7515,273.0153,314.4681,224.4529,210.7743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"942",942,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1499,761,NA,-88.10416412,16.82916641,"Mangroves","Mangroves",NA,NA,1,8,"YES",90,"NA","NA","YES",0.00887796,0.009569316,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12618.36621,13306067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2191.7988,156.6533,76.24848,69.46812,55.4,107.3319,221.1515,264.0834,218.7515,273.0153,314.4681,224.4529,210.7743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"943",943,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1500,764,"Virginia",-75.67082977,37.62083435,"Flooded Grassland","Flooded Grassland","Yes","Wetland",14,8,"YES",90,"NA","NA","YES",0.011143007,0.026099473,NA,0.52,136.3555603,151.6222229,316.3333435,163.6000061,9.888889313,127.7555542,681.888916,525.3110962,76.46666718,48.31111145,589.1555786,282.9777832,921.1555786,346,308.4888916,146.4888916,3667.426025,6809381,14.3416666585833,3.400000095,4.199999809,8,12.69999981,17.5,22.29999924,25.10000038,24.5,21.60000038,15.80000019,10.80000019,6.199999809,1025,90,81,102,71,86,80,100,102,80,74,74,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"944",944,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1501,765,"Virginia",-75.67082977,37.62083435,"Flooded Grassland","Flooded Grassland","Yes","Wetland",14,8,"YES",90,"NA","NA","YES",0.011829537,-0.079910317,NA,0,136.3555603,151.6222229,316.3333435,163.6000061,9.888889313,127.7555542,681.888916,525.3110962,76.46666718,48.31111145,589.1555786,282.9777832,921.1555786,346,308.4888916,146.4888916,3667.426025,6809381,14.3416666585833,3.400000095,4.199999809,8,12.69999981,17.5,22.29999924,25.10000038,24.5,21.60000038,15.80000019,10.80000019,6.199999809,1025,90,81,102,71,86,80,100,102,80,74,74,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WETLAND"
"945",945,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1502,766,NA,-122.4708328,38.00416565,"Mediterranean Forest","Mediterranean Forest","Yes","Coastal Forest",9,8,"YES",90,"NA","NA","YES",0.008557417,0.109010004,NA,18,126,131.0416718,255.7391357,236.217392,106.391304,316.7826233,471.3043518,402.5217285,56.86956406,61.65217209,296.7391357,386.4782715,576.041687,374.8695679,338.5217285,176.5652161,1498.113159,3029184.75,14.76666673,8.899999619,11.10000038,12.39999962,13.89999962,16,18,19.60000038,19.60000038,19,17,12.60000038,9.100000381,940,199,171,136,52,19,5,1,2,9,46,136,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"946",946,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1503,767,NA,-122.4708328,38.00416565,"Mediterranean Forest","Mediterranean Forest","Yes","Coastal Forest",9,8,"YES",90,"NA","NA","YES",0.01692264,0.021208448,NA,18,126,131.0416718,255.7391357,236.217392,106.391304,316.7826233,471.3043518,402.5217285,56.86956406,61.65217209,296.7391357,386.4782715,576.041687,374.8695679,338.5217285,176.5652161,1498.113159,3029184.75,14.76666673,8.899999619,11.10000038,12.39999962,13.89999962,16,18,19.60000038,19.60000038,19,17,12.60000038,9.100000381,940,199,171,136,52,19,5,1,2,9,46,136,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"947",947,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1504,768,NA,-122.4875031,38.00416565,"Mediterranean Forest","Mediterranean Forest","Yes","Transition",9,8,"YES",90,"NA","NA","YES",0.008707183,0.110634759,NA,15,126,131,237,226,98,330,367,363,51,65,301,370,482,363,322,173,1336.186646,2558129.25,14.97499998425,9,11.19999981,12.5,14,16.20000076,18.29999924,20,20,19.29999924,17.20000076,12.69999981,9.300000191,970,206,176,140,53,20,5,1,2,9,47,140,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"948",948,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1505,769,NA,-122.0291672,38.19583511,"Temperate Grassland","Temperate Grassland",NA,NA,8,8,"YES",90,"NA","NA","YES",0.009666033,0.087175207,NA,-1,138,147,257,223,48,291,659,490,56,65,211,498,837,398,348,188,1777.072998,3491060,15.3666667935,8.100000381,10.69999981,12.60000038,14.80000019,17.5,20.10000038,21.60000038,21.39999962,20.39999962,17.10000038,12,8.100000381,537,121,102,78,26,12,3,1,2,7,28,76,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"949",949,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1506,770,NA,-122.0291672,38.19583511,"Temperate Grassland","Temperate Grassland",NA,NA,8,8,"YES",90,"NA","NA","YES",0.014433013,-0.005792357,NA,-1,138,147,257,223,48,291,659,490,56,65,211,498,837,398,348,188,1777.072998,3491060,15.3666667935,8.100000381,10.69999981,12.60000038,14.80000019,17.5,20.10000038,21.60000038,21.39999962,20.39999962,17.10000038,12,8.100000381,537,121,102,78,26,12,3,1,2,7,28,76,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"950",950,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1507,771,"Virginia",-76.6958313,38.77083206,"Temperate Grassland","Temperate Grassland","Yes","Open Water",14,8,"YES",90,"NA","NA","YES",0.014026093,-0.092318789,NA,0.26,131.0399933,151.6533356,249.293335,98.31999969,27.9066658,217.9333344,536.7333374,432.9466553,44.46666718,48.10666656,406.9733276,375.2266541,881.1599731,373.6666565,296.1333313,125.3866653,3682.037109,7058465,13.1851733968333,0.993506491,2.563636303,7.135065079,12.40389633,17.48961067,22.11428642,24.79740334,23.95584488,20.35194778,14.00259781,8.676623344,3.737662315,1078.77282,83.90909,71.13636,96.5,81.63636,107.0455,92.81818,103.3182,100.6364,96.40909,82.13636,81.68182,81.54546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"951",951,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1508,772,"Virginia",-76.6958313,38.77083206,"Temperate Grassland","Temperate Grassland","Yes","Open Water",14,8,"YES",90,"NA","NA","YES",0.013467498,-0.070547785,NA,0,131.0399933,151.6533356,249.293335,98.31999969,27.9066658,217.9333344,536.7333374,432.9466553,44.46666718,48.10666656,406.9733276,375.2266541,881.1599731,373.6666565,296.1333313,125.3866653,3682.037109,7058465,13.1851733968333,0.993506491,2.563636303,7.135065079,12.40389633,17.48961067,22.11428642,24.79740334,23.95584488,20.35194778,14.00259781,8.676623344,3.737662315,1078.77282,83.90909,71.13636,96.5,81.63636,107.0455,92.81818,103.3182,100.6364,96.40909,82.13636,81.68182,81.54546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"952",952,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1509,773,"Virginia",-76.54582977,38.88750076,"Temperate Grassland","Temperate Grassland","Yes","Coastal Forest",14,8,"YES",90,"NA","NA","YES",0.012666324,-0.088250661,NA,10.21,133,152,286,98,28,224,607,421,45,50,346,430,997,389,303,155,1377.857422,2699222.75,13.20833339275,1,2.5,7,12.19999981,17.5,22.20000076,24.89999962,24.10000038,20.39999962,14.10000038,8.800000191,3.799999952,1100,84,72,100,85,108,95,106,104,96,79,83,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"953",953,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1510,774,"Virginia",-76.54582977,38.88750076,"Temperate Grassland","Temperate Grassland","Yes","Coastal Forest",14,8,"YES",90,"NA","NA","YES",0.018235027,-0.119514486,NA,20,133,152,286,98,28,224,607,421,45,50,346,430,997,389,303,155,1377.857422,2699222.75,13.20833339275,1,2.5,7,12.19999981,17.5,22.20000076,24.89999962,24.10000038,20.39999962,14.10000038,8.800000191,3.799999952,1100,84,72,100,85,108,95,106,104,96,79,83,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other"
"954",954,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1511,775,NA,0.720833361,40.63750076,"Mediterranean Forest","Mediterranean Forest","Yes","Open Water",NA,8,"YES",90,"NA","NA","YES",0.000599208,0.370170636,NA,0,114,124,272,258,73,346,589,444,55,70,269,385,1067,408,317,187,11154.60352,19933276,16.8474206925,10.06904793,11.26190472,12.98809528,15.02380943,18.03095245,21.57857132,24.07381058,24.38809395,22.16904831,18.08571434,13.60000038,10.89999962,552.45453,36.72727,28.90909,39.72727,42.45454,51,32.18182,13,35,76.81818,86.18182,59.45454,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"955",955,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1512,776,NA,0.720833361,40.63750076,"Mediterranean Forest","Mediterranean Forest","Yes","Open Water",NA,8,"YES",90,"NA","NA","YES",0.006482084,0.225513511,NA,0,114,124,272,258,73,346,589,444,55,70,269,385,1067,408,317,187,11154.60352,19933276,16.8474206925,10.06904793,11.26190472,12.98809528,15.02380943,18.03095245,21.57857132,24.07381058,24.38809395,22.16904831,18.08571434,13.60000038,10.89999962,552.45453,36.72727,28.90909,39.72727,42.45454,51,32.18182,13,35,76.81818,86.18182,59.45454,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"956",956,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1513,777,NA,-70.84583282,42.72916794,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.008560402,-0.041907181,NA,0,117,126,369,138,44,171,1099,568,67,51,381,449,935,369,290,156,3004.539795,5253438,9.30000003533333,-3.200000048,-2.099999905,2.400000095,7.599999905,13.5,18.39999962,21.70000076,20.89999962,16.5,10.60000038,5.5,-0.200000003,1091,97,81,95,97,86,84,78,82,90,99,106,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"957",957,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1514,778,NA,-70.84583282,42.72916794,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.008886908,-0.051655715,NA,0,117,126,369,138,44,171,1099,568,67,51,381,449,935,369,290,156,3004.539795,5253438,9.30000003533333,-3.200000048,-2.099999905,2.400000095,7.599999905,13.5,18.39999962,21.70000076,20.89999962,16.5,10.60000038,5.5,-0.200000003,1091,97,81,95,97,86,84,78,82,90,99,106,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"958",958,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1515,779,NA,-70.82917023,42.73749924,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.007671694,-0.000986645,NA,0,121,125,332,137,60,207,1006,573,68,52,361,432,1031,355,310,131,3151.018311,5545792,9.3499999545,-3,-1.899999976,2.400000095,7.5,13.39999962,18.39999962,21.70000076,20.89999962,16.5,10.69999981,5.599999905,0,1090,97,81,94,98,86,84,78,81,90,98,107,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"959",959,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1516,780,NA,-70.82917023,42.73749924,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.0111701,-0.052831054,NA,0,121,125,332,137,60,207,1006,573,68,52,361,432,1031,355,310,131,3151.018311,5545792,9.3499999545,-3,-1.899999976,2.400000095,7.5,13.39999962,18.39999962,21.70000076,20.89999962,16.5,10.69999981,5.599999905,0,1090,97,81,94,98,86,84,78,81,90,98,107,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"960",960,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1517,781,NA,-69.92082977,43.83750153,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.001778472,0.245743141,NA,6,110.1999969,125.6999969,309.2999878,148.6000061,98.625,219.5249939,1028.675049,497.1749878,62.59999847,48.32500076,428.5,352.1499939,1276.5,377.5249939,336.4750061,120.5749969,4080.940918,6602962.5,7.69166664783333,-5.199999809,-3.799999952,0.800000012,6.099999905,11.69999981,16.60000038,20,19.5,15,9.399999619,4.199999809,-2,1146,92,86,103,102,96,88,77,85,81,97,121,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"961",961,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1518,782,NA,-69.92082977,43.83750153,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.005019467,0.207448264,NA,6,110.1999969,125.6999969,309.2999878,148.6000061,98.625,219.5249939,1028.675049,497.1749878,62.59999847,48.32500076,428.5,352.1499939,1276.5,377.5249939,336.4750061,120.5749969,4080.940918,6602962.5,7.69166664783333,-5.199999809,-3.799999952,0.800000012,6.099999905,11.69999981,16.60000038,20,19.5,15,9.399999619,4.199999809,-2,1146,92,86,103,102,96,88,77,85,81,97,121,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"962",962,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1519,783,NA,-69.92082977,43.83750153,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.004921126,0.211794657,NA,6,110.1999969,125.6999969,309.2999878,148.6000061,98.625,219.5249939,1028.675049,497.1749878,62.59999847,48.32500076,428.5,352.1499939,1276.5,377.5249939,336.4750061,120.5749969,4080.940918,6602962.5,7.69166664783333,-5.199999809,-3.799999952,0.800000012,6.099999905,11.69999981,16.60000038,20,19.5,15,9.399999619,4.199999809,-2,1146,92,86,103,102,96,88,77,85,81,97,121,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"963",963,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1520,784,NA,-66.4375,45.09583282,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.010447555,0.291355782,NA,19,102,119,330,182,71,149,908,531,65,46,498,354,847,355,328,123,3294.172607,4863846,5.50833336508333,-8,-6.699999809,-1.700000048,4.099999905,9.699999809,14.19999981,17.20000076,17.39999962,13.5,7.900000095,2.700000048,-4.199999809,1263,117,87,111,99,117,97,92,81,109,108,125,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"964",964,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1521,785,NA,-66.4375,45.09583282,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,26,8,"YES",90,"NA","NA","YES",0.008553786,0.079990633,NA,19,102,119,330,182,71,149,908,531,65,46,498,354,847,355,328,123,3294.172607,4863846,5.50833336508333,-8,-6.699999809,-1.700000048,4.099999905,9.699999809,14.19999981,17.20000076,17.39999962,13.5,7.900000095,2.700000048,-4.199999809,1263,117,87,111,99,117,97,92,81,109,108,125,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"965",965,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1522,786,NA,12.45416641,45.47916794,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.003239731,0.247916336,NA,1,127,138.6666718,289.5714417,260.2857056,117.2857132,371.1428528,600.8571167,574,55.8571434,74.2857132,195.5714264,433.2857056,673.222229,404,341.2857056,182.7142792,4496.73584,8867563,13.1499999170833,3.200000048,4.599999905,8.300000191,12.19999981,17.29999924,20.79999924,23.29999924,23.10000038,19.10000038,13.80000019,8.100000381,4,762,53,43,51,68,68,76,58,66,72,80,71,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
"966",966,"van den Hoogen, 2024","https://doi.org/10.5281/zenodo.10513802","green, rooibos","lipton",1523,787,NA,12.45416641,45.47916794,"Temperate Broadleaf Forest","Temperate Broadleaf Forest",NA,NA,14,8,"YES",90,"NA","NA","YES",0.003035631,0.277196217,NA,1,127,138.6666718,289.5714417,260.2857056,117.2857132,371.1428528,600.8571167,574,55.8571434,74.2857132,195.5714264,433.2857056,673.222229,404,341.2857056,182.7142792,4496.73584,8867563,13.1499999170833,3.200000048,4.599999905,8.300000191,12.19999981,17.29999924,20.79999924,23.29999924,23.10000038,19.10000038,13.80000019,8.100000381,4,762,53,43,51,68,68,76,58,66,72,80,71,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOREST"
